,poems,our_summary,ground_summaries
0,"a love supreme, a love supreme
a love supreme, a love supreme

Sex fingers toes
in the marketplace
near your father's church
in Hamlet, North Carolina—
witness to this love
in this calm fallow
of these minds,
there is no substitute for pain:
genitals gone or going,
seed burned out,
you tuck the roots in the earth,
turn back, and move
by river through the swamps,
singing: a love supreme, a love supreme;
what does it all mean?
Loss, so great each black
woman expects your failure
in mute change, the seed gone.
You plod up into the electric city—
your song now crystal and
the blues. You pick up the horn
with some will and blow
into the freezing night:
a love supreme, a love supreme—

Dawn comes and you cook
up the thick sin 'tween
impotence and death, fuel
the tenor sax cannibal
heart, genitals, and sweat
that makes you clean—
a love supreme, a love supreme—

Why you so black?
cause I am
why you so funky?
cause I am
why you so black?
cause I am
why you so sweet?
cause I am
why you so black?
cause I am
a love supreme, a love supreme:

So sick
you couldn't play Naima,
so flat we ached
for song you'd concealed
with your own blood,
your diseased liver gave
out its purity,
the inflated heart
pumps out, the tenor kiss,
tenor love:
a love supreme, a love supreme—
a love supreme, a love supreme—","a love supreme, a love supreme. ""There is no substitute for pain"" ""Loss, so great each black woman expects your failure,"" says the poet. ""A love supreme"" is a ""love supreme"" with ""a heart, genitals, and sweat that makes you clean""","'Dear John, Dear Coltrane' by Michael S. Harper is a powerful poem that speaks to the importance of John Coltrane's music. In the first lines of this poem, the speaker begins by alluding to an act of violence perpetrated on a Black man in the American south. He immediately describes Coltrane growing up in the same area and leaving for Philadelphia to play music. As the poem progresses, the speaker introduces the reader to Coltrane's creative expression, his struggle with drugs and alcohol, and later, the liver disease that resulted."
1,"The old sick green parrot
High in a dingy cage
Sick with malevolent rage
Beadily glutted his furious eye
On the old dark
Chimneys of Noel Park
Far from his jungle green
Over the seas he came
To the yellow skies, to the dripping rain,
To the night of his despair.
And the pavements of his street
Are shining beneath the lamp
With a beauty that’s not for one
Born under a tropic sun.
He has croup. His feathered chest
Knows no minute of rest.
High on his perch he sits
And coughs and spits,
Waiting for death to come.
Pray heaven it won’t be long.","The parrot was born under a tropic sun. He has croup. His feathered chest knows no minute of rest. He coughs and spits, waiting for death to come.Pray heaven it won’t be long. He sits on his perch he sits.","‘Parrot‘ depicts the declining health of a wondrously beautiful bird in north London, where it appears to have been taken against its will. The poem begins by describing the unwell bird and its view over the houses near Noel Park in north London. The creature’s ill health is emphasized as early as the poem’s opening line. As the poem continues, Smith creates a sense of dislocation by contrasting the bird’s current surroundings with the tropical environment it came from. In the final stanza, the parrot appears close to death, and Smith appears to hope for its swift arrival so that the bird may be free from its suffering."
2,"The way a crow
Shook down on me
The dust of snow
From a hemlock tree

Has given my heart
A change of mood
And saved some part
Of a day I had rued.",The way a crow grabbed hold of me was like a change of mood. The dust of snow                From a hemlock tree                 has given my heart a new lease of life. The way a crows' talons closed around me was the way a man's heart closed around him.,"The simplicity, in the end, is the key element of the work as nature is shown as magnificent enough to bring a person into a pleasant mentality. It grounds the narrator in a satisfying place, like a “tree,” and this uncomplicated action is mirrored in the uncomplicated wording, techniques, and structure of ‘Dust of Snow.’ Together, these elements solidify the theme of ‘Dust of Snow’: that nature and simplicity, if appreciated and looked into, can be grounding factors in a time of stress."
3,"She practises a fugue, though it can matter
to no one now if she plays well or not.
Beside her on the floor two children chatter,
then scream and fight. She hushes them. A pot
boils over. As she rushes to the stove
too late, a wave of nausea overpowers
subject and counter-subject. Zest and love
drain out with soapy water as she scours
the crusted milk. Her veins ache. Once she played
for Rubinstein, who yawned. The children caper
round a sprung mousetrap where a mouse lies dead.
When the soft corpse won't move they seem afraid.
She comforts them; and wraps it in a paper
featuring: Tasty dishes from stale bread.","She practises a fugue, though it can matter to no one now if she plays well or not. Once she played for Rubinstein, who yawned. The children caperaround a sprung mousetrap where a mouse lies dead. She comforts them; and wraps it in a paper.","'Suburban Sonnet' by Gwen Harwood is a poem about the difficulties of motherhood and the mental and emotional struggles of a housewife. In the first lines of 'Suburban Sonnet,' the speaker describes a housewife who spends her time practicing a fugue, a specific type of musical composition. She knows that it doesn't matter to anyone whether or not she plays well, but she continues to. There are two children in the room, screaming at one another. This forces her to stop playing until she can quiet them down. Suddenly, another one of her duties as a housewife calls: a pot on the stove is boiling over. She suddenly feels completely overwhelmed, sick, and in pain. The poet compares the woman's happiness to the soap running down the drain. This leads to another personal music-related image. Her children are looking at a dead mouse in a trap, feeling scared despite it being dead. She disposes of the creature with an article featuring bread recipes."
4,"I seem to have loved you in numberless forms, numberless times…
In life after life, in age after age, forever.
My spellbound heart has made and remade the necklace of songs,
That you take as a gift, wear round your neck in your many forms,
In life after life, in age after age, forever.

Whenever I hear old chronicles of love, its age-old pain,
Its ancient tale of being apart or together.
As I stare on and on into the past, in the end you emerge,
Clad in the light of a pole-star piercing the darkness of time:
You become an image of what is remembered forever.

You and I have floated here on the stream that brings from the fount.
At the heart of time, love of one for another.
We have played alongside millions of lovers, shared in the same
Shy sweetness of meeting, the same distressful tears of farewell-
Old love but in shapes that renew and renew forever.

Today it is heaped at your feet, it has found its end in you
The love of all man’s days both past and forever:
Universal joy, universal sorrow, universal life.
The memories of all loves merging with this one love of ours –
And the songs of every poet past and forever.","I seem to have loved you in numberless forms, numberless times…                In life after life, in age after age, forever.                My spellbound heart has made and remade the necklace of songs,                That you take as a gift, wear round your neck in your many forms.","'Unending Love' by Rabindranath Tagore is a heartfelt poem about a speaker's devotional love for his beloved (the creator or his lady love). Tagore's poetic persona describes how his love merges with all the loves, past and forever. This piece of Rabindranath Tagore is another song in which, it seems, he speaks of his love for the creator. It can also be true that this poem can be written for a lady whom the speaker loves the most. His words reflect his deeper emotions and the devotional aspect of love between two souls. Tagore's persona gifts her with a “necklace of songs” which she wears in pride. He compares her to the polestar that pierces all the darkness of pessimism and enlightens him. Their love is old, yet it renews forever. In her, she has found universality and their memories of togetherness will last forever."
5,"When trees have lost remembrance of the leaves
that spring bequeaths to summer, autumn weaves
and loosens mournfully—this dirge, to whom
does it belong—who treads the hidden loom?

When peaks are overwhelmed with snow and ice,
and clouds with crepe bedeck and shroud the skies—
nor any sun or moon or star, it seems,
can wedge a path of light through such black dreams—

All motion cold, and dead all traces thereof:
What sudden shock below, or spark above,
starts torrents raging down till rivers surge—
that aid the first small crocus to emerge?

The earth will turn and spin and fairly soar,
that couldn't move a tortoise-foot before—
and planets permeate the atmosphere
till misery depart and mystery clear!—

And yet, so insignificant a hearse?—
who gave it the endurance so to brave
such elements?—shove winter down a grave?—
and then lead on again the universe?","When trees have lost remembrance of the leaves that spring bequeaths to summer, autumn weaves and loosens mournfully. When peaks are overwhelmed with snow and ice, clouds with crepe bedeck and shroud the skies, no sun or moon or star, it seems, can wedge a path of light through such black dreams.","'Crocus' by Alfred Kreymborg describes the vast darkness of winter and the immensely powerful “spark” which leads the world into spring. The poem begins with the speaker stating that now is the time in which spring and summer are so far in the past that the trees have forgotten they ever had left. The narrator is overwhelmed by the dark cold of the season and wants to know whose fault it is that the world is the way it is. He continues on to speak about the eventual “spark” that will come and set the Earth turning once more. It will set spring in motion, lead the crocuses to bloom, and overflow the rivers with water."
6,"Can someone make my simple wish come true?
Male biker seeks female for touring fun.
Do you live in North London? Is it you?
Gay vegetarian whose friends are few,
I'm into music, Shakespeare and the sun.
Can someone make my simple wish come true?
Executive in search of something new—
Perhaps bisexual woman, arty, young.
Do you live in North London? Is it you?
Successful, straight and solvent? I am too—
Attractive Jewish lady with a son.
Can someone make my simple wish come true?
I'm Libran, inexperienced and blue—
Need slim, non-smoker, under twenty-one.
Do you live in North London? Is it you?
Please write (with photo) to Box 152.
Who knows where it may lead once we've begun?
Can someone make my simple wish come true?
Do you live in North London? Is it you?","Can someone make my simple wish come true? Male biker seeks female for touring fun. Gay vegetarian whose friends are few, vegetarian into music, Shakespeare and the sun. Executive in search of something new. Bisexual woman, arty, young. Attractive Jewish lady with a son.","'Lonely Hearts' by Wendy Cope is an ironic poem that reveals how a speaker is desperately searching for a life partner in a newspaper column. This poem begins with a speaker asking others whether they can find her a perfect partner. Her simple wish deals with only finding a partner with whom she can start a relationship. The speaker is middle-aged and has a son. She is inexperienced, cold, and fascinated by a new beginning. Her partner can be a biker or a gay vegetarian with few friends. She is also a lonely soul and takes interest in music and Shakespeare's poetry. The partner can be an executive who is searching for a bisexual woman with arty looks. Whatsoever, all she wants is a partner who resides in North London."
7,"All right. Try this,
Then. Every body
I know and care for,
And every body
Else is going
To die in a loneliness
I can't imagine and a pain
I don't know. We had
To go on living. We
Untangled the net, we slit
The body of this fish
Open from the hinge of the tail
To a place beneath the chin
I wish I could sing of.
I would just as soon we let
The living go on living.
An old poet whom we believe in
Said the same thing, and so
We paused among the dark cattails and prayed
For the muskrats,
For the ripples below their tails,
For the little movements that we knew the crawdads were making

under water,
For the right-hand wrist of my cousin who is a policeman.
We prayed for the game warden's blindness.
We prayed for the road home.
We ate the fish.
There must be something very beautiful in my body,
I am so happy.","An old poet whom we believe in said the same thing, and so. We paused among the dark cattails and prayed. We ate the fish. There must be something very beautiful in my body, I am so happy. I wish I could sing of it. We had to let the living go on living.","'Northern Pike' by James Wright is a peaceful poem about a fishing trip and a speaker's appreciation for nature and life. The poem describes the images he saw on a fishing trip and his experience with the fish itself. He notes the beautiful, life-affirming sights and sounds in his vicinity and how killing and eating the fish made him feel. The poem ends on an optimistic note, suggesting that happiness can be found through simple pleasures in the natural world."
8,"Somewhere in the dark sky is a beautiful fight,
one-two, cha cha chá—all our knuckles rapping

against the stars’ edges for the dancing master,
for a flying sidekick to our bodies’ centers.

My father called you Little Dragon Lee, told me
how you swiveled your hips across the floor—

three-four, cha cha chá—then you both wrote
love poems for a girl in your English class.

I practiced throwing roundhouse kicks as a boy,
feet aimed at my reflection in store windows,

at street signs, at parked cars, everything I knew
I could break. Now, my feet cannot leave

the ground, and I write love poems for the dead.
The last time I watched Enter the Dragon,

I imagined it was my father emerging victorious
from the hall of mirrors, my father hustling

on the dance floor, because the last time
I saw my father, he had been waiting for me

the whole day in the morgue. Hold me,
he said, and I did until his body stopped

acting like it was alive. There is no fight
where there is no spark, no wretched cock crow

in the dark, just this cha cha chá—grief is a fist
and a promise to hurt someone. Just give it

an inch between knuckle and breastbone.
It will punch through everyone.","Somewhere in the dark sky is a beautiful fight, one-two, cha cha chá. My father called you Little Dragon Lee, told me how you swiveled your hips across the floor. Now, my feet cannot leave the ground, and I write love poems for the dead.","'Elegy for Bruce Lee' by W. Todd Kaneko begins with the measured 'one-two, ch cha chá' that echoes as a beat throughout the poem. The rhythm is reflecting the steady pace of throwing punches, Kaneko reflecting Bruce Lee's fighting practice. Kaneko discusses his father in relation to Bruce Lee, using him as an example of how to fight, but also how to live life. When Kaneko's father dies, he remembers the feeling of grief, expressing it through the practice of fighting. The final lines reflect on this fusion of grief and fighting, drawing the two images together in a somber combination."
9,"born gorgeous with nerves, with brains
the pink of silver polish or
jellyfish wafting ornately
through the body below.
An invertebrate cooing
on the mother
tongue shushes and lulls them into thinking
all is well. As they grow they learn

salvage: tear-out
guides to happiness say apologies can outshine
lies, guilt be lickspittled from their lives, bad
glycerined to good. Like a child’s first school pencils
in their formal brilliance
and sharp new smells, they lie

as lovers. Maybe one cries
the wrong name and the night skinning
them pleasantly alive
leaps away in shards.
Then it’s time for restitution:
a tin of homebaked,
holding gingham safety, fetal
as the light through mason jars of beets and brine,
or jewelry, clasping and unclasping
aisles of fluorescence from great department stores,
a distracting plenitude, and tempting.

Still, the beloved may stay bitter as an ear
the tongue pressed
into, unwanted.
And the word end: spiney, finally-formed,
indents them and is
understood. They learn

the hard way as hurts
accrue, and the brain is cratered as a rock
by rain that fell ages past
on unprotected mud. An insult keeps
despite apologies. When it vaporizes at last,
its space fills with grains that harden
to a fossil shaped exactly
like the insult.
They grow up when they know that

sometimes
only a gesture responsive as a heart-
shaped parachute above a jump
a life depends on
to be perfect
the first time will ever do","born gorgeous with nerves, with brains the pink of silver polish or jellyfish wafting ornately through the body below. As they grow they learn that apologies can outshinelies, guilt be lickspittled from their lives, bad can beglycerined to good. The beloved may stay bitter as an ear and the tongue pressed into unwanted.","'Babies' by Alice Fulton is a powerful poem filled with images that describe what it's like to age from childhood into adulthood. In the first lines of this poem, the speaker describes what a child is like when they're born. They are lulled by their mother's soothing voice into thinking that everything is going to be all right. Life feels simple when one is young. But, as a child ages, they learn that not all lies or mistakes can be erased. The poet uses an example of a scorned lover, called by the wrong name while in bed, whose affections cannot be regained. One simple mistake can ruin someone's chances at happiness. The poem concludes with a very effective image comparing life, or at least some parts of it, to a parachuter jumping out of a plane. One has a single chance to get things right."
