,index,Unnamed: 0,poems,our_summary,ground_summaries
0,0,0,"a love supreme, a love supreme
a love supreme, a love supreme

Sex fingers toes
in the marketplace
near your father's church
in Hamlet, North Carolina—
witness to this love
in this calm fallow
of these minds,
there is no substitute for pain:
genitals gone or going,
seed burned out,
you tuck the roots in the earth,
turn back, and move
by river through the swamps,
singing: a love supreme, a love supreme;
what does it all mean?
Loss, so great each black
woman expects your failure
in mute change, the seed gone.
You plod up into the electric city—
your song now crystal and
the blues. You pick up the horn
with some will and blow
into the freezing night:
a love supreme, a love supreme—

Dawn comes and you cook
up the thick sin 'tween
impotence and death, fuel
the tenor sax cannibal
heart, genitals, and sweat
that makes you clean—
a love supreme, a love supreme—

Why you so black?
cause I am
why you so funky?
cause I am
why you so black?
cause I am
why you so sweet?
cause I am
why you so black?
cause I am
a love supreme, a love supreme:

So sick
you couldn't play Naima,
so flat we ached
for song you'd concealed
with your own blood,
your diseased liver gave
out its purity,
the inflated heart
pumps out, the tenor kiss,
tenor love:
a love supreme, a love supreme—
a love supreme, a love supreme—","Sex fingers toes in the marketplace near your father's church in Hamlet,","'Dear John, Dear Coltrane' by Michael S. Harper is a powerful poem that speaks to the importance of John Coltrane's music. In the first lines of this poem, the speaker begins by alluding to an act of violence perpetrated on a Black man in the American south. He immediately describes Coltrane growing up in the same area and leaving for Philadelphia to play music. As the poem progresses, the speaker introduces the reader to Coltrane's creative expression, his struggle with drugs and alcohol, and later, the liver disease that resulted."
1,1,1,"The old sick green parrot
High in a dingy cage
Sick with malevolent rage
Beadily glutted his furious eye
On the old dark
Chimneys of Noel Park
Far from his jungle green
Over the seas he came
To the yellow skies, to the dripping rain,
To the night of his despair.
And the pavements of his street
Are shining beneath the lamp
With a beauty that’s not for one
Born under a tropic sun.
He has croup. His feathered chest
Knows no minute of rest.
High on his perch he sits
And coughs and spits,
Waiting for death to come.
Pray heaven it won’t be long.",The old sick green parrot High in a dingy cage Sick with male,"‘Parrot‘ depicts the declining health of a wondrously beautiful bird in north London, where it appears to have been taken against its will. The poem begins by describing the unwell bird and its view over the houses near Noel Park in north London. The creature’s ill health is emphasized as early as the poem’s opening line. As the poem continues, Smith creates a sense of dislocation by contrasting the bird’s current surroundings with the tropical environment it came from. In the final stanza, the parrot appears close to death, and Smith appears to hope for its swift arrival so that the bird may be free from its suffering."
2,2,2,"The way a crow
Shook down on me
The dust of snow
From a hemlock tree

Has given my heart
A change of mood
And saved some part
Of a day I had rued.",The way a crow Shook down on me The dust of snow From ,"The simplicity, in the end, is the key element of the work as nature is shown as magnificent enough to bring a person into a pleasant mentality. It grounds the narrator in a satisfying place, like a “tree,” and this uncomplicated action is mirrored in the uncomplicated wording, techniques, and structure of ‘Dust of Snow.’ Together, these elements solidify the theme of ‘Dust of Snow’: that nature and simplicity, if appreciated and looked into, can be grounding factors in a time of stress."
3,3,3,"She practises a fugue, though it can matter
to no one now if she plays well or not.
Beside her on the floor two children chatter,
then scream and fight. She hushes them. A pot
boils over. As she rushes to the stove
too late, a wave of nausea overpowers
subject and counter-subject. Zest and love
drain out with soapy water as she scours
the crusted milk. Her veins ache. Once she played
for Rubinstein, who yawned. The children caper
round a sprung mousetrap where a mouse lies dead.
When the soft corpse won't move they seem afraid.
She comforts them; and wraps it in a paper
featuring: Tasty dishes from stale bread.","She practises a fugue, though it can matter to no one now if she","'Suburban Sonnet' by Gwen Harwood is a poem about the difficulties of motherhood and the mental and emotional struggles of a housewife. In the first lines of 'Suburban Sonnet,' the speaker describes a housewife who spends her time practicing a fugue, a specific type of musical composition. She knows that it doesn't matter to anyone whether or not she plays well, but she continues to. There are two children in the room, screaming at one another. This forces her to stop playing until she can quiet them down. Suddenly, another one of her duties as a housewife calls: a pot on the stove is boiling over. She suddenly feels completely overwhelmed, sick, and in pain. The poet compares the woman's happiness to the soap running down the drain. This leads to another personal music-related image. Her children are looking at a dead mouse in a trap, feeling scared despite it being dead. She disposes of the creature with an article featuring bread recipes."
4,4,4,"I seem to have loved you in numberless forms, numberless times…
In life after life, in age after age, forever.
My spellbound heart has made and remade the necklace of songs,
That you take as a gift, wear round your neck in your many forms,
In life after life, in age after age, forever.

Whenever I hear old chronicles of love, its age-old pain,
Its ancient tale of being apart or together.
As I stare on and on into the past, in the end you emerge,
Clad in the light of a pole-star piercing the darkness of time:
You become an image of what is remembered forever.

You and I have floated here on the stream that brings from the fount.
At the heart of time, love of one for another.
We have played alongside millions of lovers, shared in the same
Shy sweetness of meeting, the same distressful tears of farewell-
Old love but in shapes that renew and renew forever.

Today it is heaped at your feet, it has found its end in you
The love of all man’s days both past and forever:
Universal joy, universal sorrow, universal life.
The memories of all loves merging with this one love of ours –
And the songs of every poet past and forever.","I seem to have loved you in numberless forms, numberless times... In life after life","'Unending Love' by Rabindranath Tagore is a heartfelt poem about a speaker's devotional love for his beloved (the creator or his lady love). Tagore's poetic persona describes how his love merges with all the loves, past and forever. This piece of Rabindranath Tagore is another song in which, it seems, he speaks of his love for the creator. It can also be true that this poem can be written for a lady whom the speaker loves the most. His words reflect his deeper emotions and the devotional aspect of love between two souls. Tagore's persona gifts her with a “necklace of songs” which she wears in pride. He compares her to the polestar that pierces all the darkness of pessimism and enlightens him. Their love is old, yet it renews forever. In her, she has found universality and their memories of togetherness will last forever."
5,5,5,"When trees have lost remembrance of the leaves
that spring bequeaths to summer, autumn weaves
and loosens mournfully—this dirge, to whom
does it belong—who treads the hidden loom?

When peaks are overwhelmed with snow and ice,
and clouds with crepe bedeck and shroud the skies—
nor any sun or moon or star, it seems,
can wedge a path of light through such black dreams—

All motion cold, and dead all traces thereof:
What sudden shock below, or spark above,
starts torrents raging down till rivers surge—
that aid the first small crocus to emerge?

The earth will turn and spin and fairly soar,
that couldn't move a tortoise-foot before—
and planets permeate the atmosphere
till misery depart and mystery clear!—

And yet, so insignificant a hearse?—
who gave it the endurance so to brave
such elements?—shove winter down a grave?—
and then lead on again the universe?",When trees have lost remembrance of the leaves that spring bequeaths,"'Crocus' by Alfred Kreymborg describes the vast darkness of winter and the immensely powerful “spark” which leads the world into spring. The poem begins with the speaker stating that now is the time in which spring and summer are so far in the past that the trees have forgotten they ever had left. The narrator is overwhelmed by the dark cold of the season and wants to know whose fault it is that the world is the way it is. He continues on to speak about the eventual “spark” that will come and set the Earth turning once more. It will set spring in motion, lead the crocuses to bloom, and overflow the rivers with water."
6,6,6,"Can someone make my simple wish come true?
Male biker seeks female for touring fun.
Do you live in North London? Is it you?
Gay vegetarian whose friends are few,
I'm into music, Shakespeare and the sun.
Can someone make my simple wish come true?
Executive in search of something new—
Perhaps bisexual woman, arty, young.
Do you live in North London? Is it you?
Successful, straight and solvent? I am too—
Attractive Jewish lady with a son.
Can someone make my simple wish come true?
I'm Libran, inexperienced and blue—
Need slim, non-smoker, under twenty-one.
Do you live in North London? Is it you?
Please write (with photo) to Box 152.
Who knows where it may lead once we've begun?
Can someone make my simple wish come true?
Do you live in North London? Is it you?", Can someone make my simple wish come true?</s,"'Lonely Hearts' by Wendy Cope is an ironic poem that reveals how a speaker is desperately searching for a life partner in a newspaper column. This poem begins with a speaker asking others whether they can find her a perfect partner. Her simple wish deals with only finding a partner with whom she can start a relationship. The speaker is middle-aged and has a son. She is inexperienced, cold, and fascinated by a new beginning. Her partner can be a biker or a gay vegetarian with few friends. She is also a lonely soul and takes interest in music and Shakespeare's poetry. The partner can be an executive who is searching for a bisexual woman with arty looks. Whatsoever, all she wants is a partner who resides in North London."
7,7,7,"All right. Try this,
Then. Every body
I know and care for,
And every body
Else is going
To die in a loneliness
I can't imagine and a pain
I don't know. We had
To go on living. We
Untangled the net, we slit
The body of this fish
Open from the hinge of the tail
To a place beneath the chin
I wish I could sing of.
I would just as soon we let
The living go on living.
An old poet whom we believe in
Said the same thing, and so
We paused among the dark cattails and prayed
For the muskrats,
For the ripples below their tails,
For the little movements that we knew the crawdads were making

under water,
For the right-hand wrist of my cousin who is a policeman.
We prayed for the game warden's blindness.
We prayed for the road home.
We ate the fish.
There must be something very beautiful in my body,
I am so happy.","Every body I know and care for, And every body Else is going To die in","'Northern Pike' by James Wright is a peaceful poem about a fishing trip and a speaker's appreciation for nature and life. The poem describes the images he saw on a fishing trip and his experience with the fish itself. He notes the beautiful, life-affirming sights and sounds in his vicinity and how killing and eating the fish made him feel. The poem ends on an optimistic note, suggesting that happiness can be found through simple pleasures in the natural world."
8,8,8,"Somewhere in the dark sky is a beautiful fight,
one-two, cha cha chá—all our knuckles rapping

against the stars’ edges for the dancing master,
for a flying sidekick to our bodies’ centers.

My father called you Little Dragon Lee, told me
how you swiveled your hips across the floor—

three-four, cha cha chá—then you both wrote
love poems for a girl in your English class.

I practiced throwing roundhouse kicks as a boy,
feet aimed at my reflection in store windows,

at street signs, at parked cars, everything I knew
I could break. Now, my feet cannot leave

the ground, and I write love poems for the dead.
The last time I watched Enter the Dragon,

I imagined it was my father emerging victorious
from the hall of mirrors, my father hustling

on the dance floor, because the last time
I saw my father, he had been waiting for me

the whole day in the morgue. Hold me,
he said, and I did until his body stopped

acting like it was alive. There is no fight
where there is no spark, no wretched cock crow

in the dark, just this cha cha chá—grief is a fist
and a promise to hurt someone. Just give it

an inch between knuckle and breastbone.
It will punch through everyone.", A fight is a fist and a promise to hurt someone.</s,"'Elegy for Bruce Lee' by W. Todd Kaneko begins with the measured 'one-two, ch cha chá' that echoes as a beat throughout the poem. The rhythm is reflecting the steady pace of throwing punches, Kaneko reflecting Bruce Lee's fighting practice. Kaneko discusses his father in relation to Bruce Lee, using him as an example of how to fight, but also how to live life. When Kaneko's father dies, he remembers the feeling of grief, expressing it through the practice of fighting. The final lines reflect on this fusion of grief and fighting, drawing the two images together in a somber combination."
9,9,9,"born gorgeous with nerves, with brains
the pink of silver polish or
jellyfish wafting ornately
through the body below.
An invertebrate cooing
on the mother
tongue shushes and lulls them into thinking
all is well. As they grow they learn

salvage: tear-out
guides to happiness say apologies can outshine
lies, guilt be lickspittled from their lives, bad
glycerined to good. Like a child’s first school pencils
in their formal brilliance
and sharp new smells, they lie

as lovers. Maybe one cries
the wrong name and the night skinning
them pleasantly alive
leaps away in shards.
Then it’s time for restitution:
a tin of homebaked,
holding gingham safety, fetal
as the light through mason jars of beets and brine,
or jewelry, clasping and unclasping
aisles of fluorescence from great department stores,
a distracting plenitude, and tempting.

Still, the beloved may stay bitter as an ear
the tongue pressed
into, unwanted.
And the word end: spiney, finally-formed,
indents them and is
understood. They learn

the hard way as hurts
accrue, and the brain is cratered as a rock
by rain that fell ages past
on unprotected mud. An insult keeps
despite apologies. When it vaporizes at last,
its space fills with grains that harden
to a fossil shaped exactly
like the insult.
They grow up when they know that

sometimes
only a gesture responsive as a heart-
shaped parachute above a jump
a life depends on
to be perfect
the first time will ever do", child’s first school pencils in their formal brilliance and sharp new smell,"'Babies' by Alice Fulton is a powerful poem filled with images that describe what it's like to age from childhood into adulthood. In the first lines of this poem, the speaker describes what a child is like when they're born. They are lulled by their mother's soothing voice into thinking that everything is going to be all right. Life feels simple when one is young. But, as a child ages, they learn that not all lies or mistakes can be erased. The poet uses an example of a scorned lover, called by the wrong name while in bed, whose affections cannot be regained. One simple mistake can ruin someone's chances at happiness. The poem concludes with a very effective image comparing life, or at least some parts of it, to a parachuter jumping out of a plane. One has a single chance to get things right."
10,10,10,"Love is like water or the air
my townspeople;
it cleanses, and dissipates evil gases.
It is like poetry too
and for the same reasons.
Love is so precious
my townspeople
that if I were you I would
have it under lock and key—
like the air or the Atlantic or
like poetry","Love is like water or the air my townspeople; it cleanses, and dissi","Riposte' by William Carlos Williams is a short poem about the power of love and how impossible it is to sustain or control it. In the lines of 'Riposte,' the speaker addresses “townspeople,” a group he refers to as “my townspeople.” He's giving these men and women a lesson in love. He tells them that it is the same as water, air, and poetry. Meaning, it clears the air of poisonous gasses and makes life all-around easier to live. Through the poem, the poet also alludes to humanity's inability to capture and control love, just as they can't control the Atlantic ocean, air, or poetry."
11,11,11,"The apes yawn and adore their fleas in the sun.
The parrots shriek as if they were on fire, or strut
Like cheap tarts to attract the stroller with the nut.
Fatigued with indolence, tiger and lion

Lie still as the sun. The boa-constrictor’s coil
Is a fossil. Cage after cage seems empty, or
Stinks of sleepers from the breathing straw.
It might be painted on a nursery wall.

But who runs like the rest past these arrives
At a cage where the crowd stands, stares, mesmerized,
As a child at a dream, at a jaguar hurrying enraged
Through prison darkness after the drills of his eyes
On a short fierce fuse. Not in boredom—
The eye satisfied to be blind in fire,
By the bang of blood in the brain deaf the ear—
He spins from the bars, but there’s no cage to him

More than to the visionary his cell:
His stride is wildernesses of freedom:
The world rolls under the long thrust of his heel.
Over the cage floor the horizons come.","A lion, a ape, a jaguar, ","The Jaguar' by Ted Hughes is a powerful poem that describes a zoo, its sorrowful inhabitants, and the one creature that hasn't given into despair. In the first two stanzas of 'The Jaguar,' Hughes speaker describes a few of the many depressed animals that make up a zoo. They include parrots shrieking for food, apes, and lethargic lions and tigers. He also makes sure, within these lines, to emphasize how “un-wild” these animals are, suggesting that something more, besides their freedom, has been taken from them. In the middle of the poem, he brings in a young child visiting the zoo and uses him to draw the poem towards the jaguar, the centerpiece of the zoo. The cat appears to be, by the speaker's account, the only animal that has a depressed representative of its species. Its power is on full display as the speaker alludes to the wildness that still resides within the cat's eyes and heart."
12,12,12,"I saw a little elephant standing in my garden,
I said 'You don't belong in here', he said 'I beg your pardon?',
I said 'This place is England, what are you doing here?',
He said 'Ah, then I must be lost' and then 'Oh dear, oh dear'.

'I should be back in Africa, on Saranghetti's Plain',
'Pray, where is the nearest station where I can catch a train?'.
He caught the bus to Finchley and then to Mincing lane,
And over the Embankment, where he got lost, again.

The police they put him in a cell, but it was far too small,
So they tied him to a lampost and he slept against the wall.
But as the policemen lay sleeping by the twinkling light of dawn,
The lampost and the wall were there, but the elephant was gone!

So if you see an elephant, in a Jumbo Jet,
You can be sure that Africa's the place he's trying to get!","I saw a little elephant standing in my garden, I said 'You don't","'Jumbo Jet' by Spike Milligan tells the story of an elephant that is in London and trying to make its way back to Africa. In the first lines of this piece, the speaker begins by telling the reader how he went outside one day and found an elephant in his garden. He was shocked to see him there and told him immediately that he shouldn't be there. The elephant was confused but eventually realized how lost he is. In the next lines, the elephant asks for the speaker's help getting back to Africa and the plains on which he should be roaming. The poem concludes with the speaker describing how the elephant got lost after getting to the Thames Embankment. He was then caught by police, tied up outside to a lamppost, and then become lost once more when he wandered off during the early morning hours. In the final couplet the speaker, in an upbeat tone, assures the reader that if they see an elephant on a “Jumbo Jet” plane that he is simply trying to get home to Africa."
13,13,13,"Lovely dainty Spanish needle
With your yellow flower and white,
Dew bedecked and softly sleeping,
Do you think of me to-night?
Shadowed by the spreading mango,
Nodding o'er the rippling stream,
Tell me, dear plant of my childhood,
Do you of the exile dream?
Do you see me by the brook's side
Catching crayfish 'neath the stone,
As you did the day you whispered:
Leave the harmless dears alone?
Do you see me in the meadow
Coming from the woodland spring
With a bamboo on my shoulder
And a pail slung from a string?
Do you see me all expectant
Lying in an orange grove,
While the swee-swees sing above me,
Waiting for my elf-eyed love?
Lovely dainty Spanish needle,
Source to me of sweet delight,
In your far-off sunny southland
Do you dream of me to-night?","Shadowed by the spreading mango, Nodding o'er the rippling","'The Spanish Needle' by Claude McKay is a beautiful, nostalgic poem that looks back on a speaker's childhood. In the stanzas, the speaker asks the Spanish needle, a type of plant, if it remembers him during his youth. He has fond memories of spending time outside, near a river, carrying water, and spending time with his love. It's clear he's feeling nostalgic about his past and hoping that through the plant, a tiny bit of himself still exists in the past."
14,14,14,"When we talk about when to tell the kids,
we are so together, so concentrated.
I mutter, “I feel like a killer.” “I’m
the killer”—taking my wrist—he says,
holding it. He is sitting on the couch,
the old indigo chintz around him,
rich as a night sea with jellies,
I am sitting on the floor. I look up at him,
as if within some chamber of matedness,
some dust I carry around me. Tonight,
to breathe its Magellanic field is less
painful, maybe because he is drinking
a wine grown where I was born—fog,
eucalyptus, sempervirens—and I’m
sharing the glass with him. “Don’t catch
my cold,” he says, “—oh that’s right, you want
to catch my cold.” I should not have told him that,
I tell him I will try to fall out of
love with him, but I feel I will love him
all my life. He says he loves me
as the mother of our children, and new troupes
of tears mount to the acrobat platforms
of my ducts and do their burning leaps.
Some of them jump straight sideways, and, for a
moment, I imagine a flurry
of tears like a whirra of knives thrown
at a figure, to outline it—a heart’s spurt
of rage. It glitters, in my vision, I nod
to it, it is my hope.", I feel like a killer.</s,"The Flurry' by Sharon Olds focuses on a couple planning how they will tell their children of their divorce. The poem explores the end of love, relationships coming to an end, and how that can impact people. Olds moves through many emotions in the poem, beginning with worry and ending with anger. The poem is melancholic, Olds not quite knowing how to deal with the conversation. The poet's partner is pragmatic, planning their future conversation with careful certainty. The final section of the poem focuses on Olds' emotions, her sadness transforming into anger. This anger is the only thing Olds has left now, focusing on that to try and drown out the pain of falling out of love. She has to adapt to the situation as it is, surprised by things that have changed between them."
15,15,15,"When I looked up, the black man was there,
staring into my face,
as if he had always been there,
as if he and I went a long way back.
He looked into the dark pool of my eyes
as the train slid out of Euston.
For a long time this went on
the stranger and I looking at each other,
a look that was like something being given
from one to the other.
My whole childhood, l'm quite sure,
passed before him, the worst things
I've ever done, the biggest lies I've ever told.
And he was a little boy on a red dust road.
He stared into the dark depth of me,
and then he spoke:
'lbo
,' he said. 'lbo, definitely.'
Our train rushed through the dark.
'You are an Ibo!' he said, thumping the table.
My coffee jumped and spilled.
Several sleeping people woke.
The night train boasted and whistled
through the English countryside,
past unwritten stops in the blackness.
'That nose is an Ibo nose.
Those teeth are Ibo teeth,' the stranger said,
his voice getting louder and louder.
l had no doubt, from the way he said it,
that Ibo noses are the best noses in the world,
that lbo teeth are perfect pearls.
People were walking down the trembling aisle
to come and look
as the night rain babbled against the window.
There was a moment when
my whole face changed into a map,
and the stranger on the train
located even, the name
of my village in Nigeria
in the lower part of my jaw.
I told him what I'd heard was my father's name.
Okafor. He told me what it meant,
something stunning,
something so apt and astonishing.
Tell me, I asked the black man on the train
who was himself transforming,
at roughly the same speed as the train,
and could have been
at any stop, my brother, my father as a young man,
or any member of my large clan,
Tell me about the lbos.
His face had a look
I've seen on a MacLachlan, a MacDonell, a MacLeod,
the most startling thing, pride,
a quality of being certain.
'Now that I know you are an Ibo, we will eat.'
He produced a spicy meat patty,
ripping it into two.
Tell me about the lbos.
'The lbos are small in stature
Not tall like the Yoruba or Hausa.
The lbos are clever, reliable,
dependable, faithful, true.
The Ibos should be running Nigeria.
There would be none of this corruption.'
And what, I asked, are the lbos faults?
I smiled my newly acquired lbo smile,
flashed my gleaming lbo teeth.
The train grabbed at a bend,
'Faults? No faults. Not a single one.'
'If you went back,' he said brightening,
'The whole village would come out for you.
Massive celebrations. Definitely.
Definitely,' he opened his arms wide.
'The eldest grandchild- fantastic welcome.
If the grandparents are alive.'
I saw myself arriving
the hot dust, the red road,
the trees heavy with other fruits,
the bright things, the flowers.
I saw myself watching
Jackie Kay
Lucozade, The Shoes of Dead Comrades, Pride
the old people dance towards me
dressed up for me in happy prints.
And I found my feet.
I started to dance.
I danced a dance I never knew I knew.
Words and sounds fell out of my mouth like seeds.
I astonished myself.
My grandmother was like me exactly, only darker.
When I looked up, the black man had gone.
Only my own face startled me in the dark train window.","The stranger on the train slid out of Euston, looking at me, as","'Pride' by Jackie Kay is about having pride in one's identity and a woman's extraordinary meeting with a man on a night train. In the first part of the poem, the speaker begins by describing herself on a train during a nighttime journey leaving Euston station. She meets a black man on the train with whom she has an instant connection. She feels as though he can see into her mind and her past. To an extent, this proves to be true. They speak, and he explains that she is Ibo or that she comes from a specific tribe in Africa. This is highly relevant to the speaker, who is on a journey of self-discovery. They converse further, and he makes her feel as though her identity is something to be incredibly proud of. When the poem concludes, it becomes clear that the speaker has imagined this entire interaction."
16,16,16,"Miss Helen Slingsby was my maiden aunt,
And lived in a small house near a fashionable square
Cared for by servants to the number of four.
Now when she died there was silence in heaven
And silence at her end of the street.
The shutters were drawn and the undertaker wiped his feet—
He was aware that this sort of thing had occurred before.
The dogs were handsomely provided for,
But shortly afterwards the parrot died too.
The Dresden clock continued ticking on the mantelpiece,
And the footman sat upon the dining-table
Holding the second housemaid on his knees—
Who had always been so careful while her mistress lived.",The slender slender slender slender s,"Aunt Helen' by T.S. Eliot takes a look into the life of a recently deceased woman who appears to have been unloved while she was alive. The poem details the aftermath of this woman's death. Eliot's speaker discusses the silence on the street and alludes to the lack of mourners around the woman. Despite being her nephew, the speaker does not show any emotion. He is not grieving for her in this elegy, he is simply noting the facts of her death. The strongest emotion in the poem comes at the end when the speaker mentions the housemaid flirting with the footman."
